EXP_043b: Simplex Anatomy — All Elements Z=1 to 118
======================================================================

   Z  Simp  Hing    ⟨SST⟩    ⟨STT⟩  STT_min  STT_max    ⟨TT⟩       Σdet
  86    86   775   0.9983   0.4629   0.0005   0.8673  0.7066     635.58
  87    87   784   0.9983   0.4629   0.0000   0.8671  0.7066     642.96
  88    88   793   0.9983   0.4629   0.0005   0.8668  0.7066     650.33
  89    89   802   0.9983   0.4629   0.0000   0.8664  0.7066     657.71
  90    90   811   0.9983   0.4629   0.0004   0.8669  0.7066     665.09
  91    91   820   0.9983   0.4629   0.0000   0.8671  0.7067     672.47
  92    92   829   0.9983   0.4629   0.0004   0.8673  0.7067     679.85
  93    93   838   0.9983   0.4629   0.0000   0.8672  0.7067     687.23
  94    94   847   0.9983   0.4629   0.0004   0.8671  0.7067     694.61
  95    95   856   0.9983   0.4629   0.0000   0.8668  0.7067     701.98
  96    96   865   0.9983   0.4629   0.0004   0.8666  0.7068     709.36
  97    97   874   0.9983   0.4629   0.0000   0.8670  0.7068     716.74
  98    98   883   0.9983   0.4629   0.0004   0.8672  0.7068     724.12
  99    99   892   0.9983   0.4629   0.0000   0.8673  0.7068     731.50
 100   100   901   0.9983   0.4629   0.0004   0.8672  0.7068     738.88
 101   101   910   0.9983   0.4629   0.0000   0.8671  0.7068     746.26
 102   102   919   0.9983   0.4629   0.0003   0.8668  0.7068     753.63
 103   103   928   0.9983   0.4629   0.0000   0.8667  0.7068     761.01
 104   104   937   0.9983   0.4629   0.0003   0.8670  0.7068     768.39
 105   105   946   0.9983   0.4629   0.0000   0.8672  0.7068     775.77
 106   106   955   0.9983   0.4629   0.0003   0.8673  0.7069     783.15
 107   107   964   0.9983   0.4629   0.0000   0.8672  0.7069     790.53
 108   108   973   0.9983   0.4629   0.0003   0.8671  0.7069     797.91
 109   109   982   0.9983   0.4629   0.0000   0.8668  0.7069     805.28
 110   110   991   0.9983   0.4629   0.0003   0.8669  0.7069     812.66
 111   111  1000   0.9983   0.4629   0.0000   0.8671  0.7070     820.04
 112   112  1009   0.9983   0.4629   0.0003   0.8672  0.7070     827.42
 113   113  1018   0.9983   0.4629   0.0000   0.8673  0.7070     834.80
 114   114  1027   0.9983   0.4629   0.0003   0.8672  0.7070     842.18
 115   115  1036   0.9983   0.4629   0.0000   0.8671  0.7070     849.56
 116   116  1045   0.9983   0.4629   0.0003   0.8668  0.7070     856.93
 117   117  1054   0.9983   0.4629   0.0000   0.8669  0.7070     864.31
 118   118  1063   0.9983   0.4629   0.0003   0.8671  0.7070     871.69
