file,namespace,name,kind,body_chars,body_lines,infra:Beilinson,infra:Cochain,infra:Frobenius,infra:Galois,infra:Hodge,infra:List.all,infra:List.any,infra:List.finRange,infra:List.map,infra:List.range,infra:Nat.beq,infra:Nat.ble,infra:binom,infra:bitOf,infra:cocycleObstruction,infra:cup,infra:delta0,infra:delta1,infra:energy,infra:fixed,infra:foldl,infra:foldr,infra:frustrationCount,infra:group,infra:half,infra:hodgeStar,infra:mkSpin,infra:orbit,infra:parity,infra:spinAt,infra:wedge,infra:σ,proof:<;>,proof:And.intro,proof:Classical.byContradiction,proof:Classical.choose,proof:Classical.choose_spec,proof:Classical.em,proof:Or.inl,proof:Or.inr,proof:absurd,proof:apply,proof:by decide,proof:cases,proof:constructor,proof:decide,proof:exact ,proof:fun ,proof:intro,proof:left,proof:match,proof:noncomputable,proof:omega,proof:rcases,proof:refine,proof:rfl,proof:right,proof:rw ,proof:simp,proof:unfold,proof:⟨,stmt:<,stmt:=,stmt:>,stmt:Bool,stmt:Fin,stmt:List,stmt:Nat,stmt:Option,stmt:Prop,stmt:Type,stmt:¬,stmt:→,stmt:↔,stmt:∀,stmt:∃,stmt:∧,stmt:∨,stmt:≠,stmt:≤,stmt:≥
E213/Physics/Higgs/Mass.lean,E213.Physics.Higgs.Mass,mH_vH_bracket_5097,theorem,211,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
E213/Physics/Higgs/Mass.lean,E213.Physics.Higgs.Mass,higgs_simplicial_pattern,theorem,344,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
E213/Physics/Higgs/MassFinitist.lean,E213.Physics.Higgs.MassFinitist,cofactor_4_5,theorem,82,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E213/Physics/Higgs/MassFinitist.lean,E213.Physics.Higgs.MassFinitist,higgs_finitist,theorem,315,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
E213/Physics/Higgs/Master.lean,E213.Physics.Higgs.Master,higgs_master_atomic,theorem,510,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
E213/Physics/Higgs/Master.lean,E213.Physics.Higgs.Master,higgs_hierarchy_summary,theorem,474,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
E213/Physics/Higgs/Master.lean,E213.Physics.Higgs.Master,higgs_zero_param,theorem,374,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
E213/Physics/Higgs/Phase3Derivation.lean,E213.Physics.Higgs.Phase3Derivation,leading_atomic,theorem,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E213/Physics/Higgs/Phase3Derivation.lean,E213.Physics.Higgs.Phase3Derivation,face_dim_correction,theorem,102,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E213/Physics/Higgs/Phase3Derivation.lean,E213.Physics.Higgs.Phase3Derivation,d_minus_1_ubiquitous,theorem,112,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
